,iata,iso,name,continent,type,lat,lon,size,status
3700,PDC,NC,Mueo Airport,OC,airport,-21.316668,165.0,small,1
3701,MEE,NC,,OC,airport,-21.482311,168.03609,medium,1
3702,TOU,NC,Touho Airport,OC,airport,-20.8,165.25,medium,1
3703,UVE,NC,,OC,airport,-20.64242,166.57198,medium,1
3704,NOU,NC,La Tontouta International Airport,OC,airport,-22.01639,166.21611,medium,1
3705,AKL,NZ,Auckland International Airport,OC,airport,-37.004787,174.78352,large,1
3706,TUO,NZ,Taupo Airport,OC,airport,-38.741432,176.08235,medium,1
3707,AMZ,NZ,Ardmore Airport,OC,airport,-37.033333,174.96666,medium,1
3708,ASG,NZ,Ashburton Aerodrome,OC,airport,-43.9,171.78334,small,1
3709,CHC,NZ,Christchurch International Airport,OC,airport,-43.488655,172.5389,large,1
3710,CHT,NZ,Chatham Islands-Tuuta Airport,OC,airport,-43.8,-176.35,medium,1
3711,CMV,NZ,Coromandel Aerodrome,OC,airport,-37.0,175.66667,small,1
3712,DGR,NZ,Dargaville Aerodrome,OC,airport,-35.933334,173.88333,small,1
3713,DUD,NZ,Dunedin Airport,OC,airport,-45.92387,170.19905,medium,1
3714,FGL,NZ,Fox Heliport,OC,heliport,,,,1
3715,WHO,NZ,Franz Josef Aerodrome,OC,airport,-43.38333,170.18333,small,1
3716,GBZ,NZ,Great Barrier Aerodrome,OC,airport,-36.25,175.41667,small,1
3717,GMN,NZ,Greymouth Airport,OC,airport,-42.45,171.2,small,1
3718,GIS,NZ,Gisborne Airport,OC,airport,-38.661934,177.98228,medium,1
3719,GTN,NZ,Glentanner Airport,OC,airport,-43.766666,170.13611,medium,1
3720,HKK,NZ,Hokitika Airfield,OC,airport,-42.714912,170.98346,medium,1
3721,HLZ,NZ,Hamilton International Airport,OC,airport,-37.86622,175.33603,medium,1
3722,WIK,NZ,Waiheke Reeve Airport,OC,airport,-36.833332,175.08333,small,1
3723,KBZ,NZ,Kaikoura Airport,OC,airport,-42.416668,173.68333,small,1
3724,KKE,NZ,Kerikeri Airport,OC,airport,-35.263283,173.91237,medium,1
3725,KKO,NZ,Kaikohe Airport,OC,airport,-35.452778,173.81667,small,1
3726,KAT,NZ,Kaitaia Airport,OC,airport,-35.066284,173.28542,medium,1
3727,ALR,NZ,Alexandra Airport,OC,airport,-45.21389,169.36945,medium,1
3728,MTA,NZ,Matamata Glider Airport,OC,airport,-37.816666,175.76666,small,1
3729,MON,NZ,Mount Cook Airport,OC,airport,-43.766666,170.13611,medium,1
3730,MFN,NZ,Milford Sound Airport,OC,airport,-44.669445,167.91112,small,1
3731,MZP,NZ,Motueka Airport,OC,airport,-41.11667,173.0,small,1
3732,TEU,NZ,Manapouri Airport,OC,airport,-45.419445,167.7264,medium,1
3733,MRO,NZ,Hood Airport,OC,airport,-40.975,175.63333,medium,1
