,iata,iso,name,continent,type,lat,lon,size,status
1841,KLC,SN,Kaolack Airport,AF,airport,14.083333,-16.5,medium,1
1842,DKR,SN,,AF,airport,14.744975,-17.490194,large,1
1843,MAX,SN,Ouro Sogui Airport,AF,airport,15.593056,-13.323611,medium,1
1844,POD,SN,Podor Airport,AF,airport,16.666668,-14.966667,small,1
1845,RDT,SN,Richard Toll Airport,AF,airport,16.437222,-15.657222,small,1
1846,XLS,SN,Saint Louis Airport,AF,airport,16.050278,-16.460278,medium,1
1847,BXE,SN,Bakel Airport,AF,airport,14.841667,-12.467778,medium,1
1848,KGG,SN,,AF,airport,12.570833,-12.217222,medium,1
1849,SMY,SN,Simenti Airport,AF,airport,13.166667,-13.166667,small,1
1850,TUD,SN,Tambacounda Airport,AF,airport,13.736111,-13.658333,medium,1
1851,AEO,MR,Aioun el Atrouss Airport,AF,airport,16.709167,-9.635556,small,1
1852,OTL,MR,Boutilimit Airport,AF,airport,17.75,-14.666667,small,1
1853,THI,MR,Tichitt Airport,AF,airport,18.45,-9.5,small,1
1854,TIY,MR,Tidjikja Airport,AF,airport,18.566668,-11.416667,small,1
1855,BGH,MR,Abbaye Airport,AF,airport,16.633333,-14.2,small,1
1856,KFA,MR,Kiffa Airport,AF,airport,16.588888,-11.405278,small,1
1857,TMD,MR,Timbedra Airport,AF,airport,16.236668,-8.154167,small,1
1858,EMN,MR,,AF,airport,16.6,-7.283333,small,1
1859,AJJ,MR,Akjoujt Airport,AF,airport,19.730556,-14.374444,small,1
1860,KED,MR,,AF,airport,16.161388,-13.507778,small,1
1861,MOM,MR,Letfotar Airport,AF,airport,17.75,-12.5,small,1
1862,NKC,MR,Nouakchott International Airport,AF,airport,18.098148,-15.952041,medium,1
1863,SEY,MR,,AF,airport,15.182222,-12.206111,small,1
1864,THT,MR,Tamchakett Airport,AF,airport,17.233334,-10.816667,small,1
1865,ATR,MR,Atar International Airport,AF,airport,20.499443,-13.046389,medium,1
1866,FGD,MR,Fderik Airport,AF,airport,22.675,-12.731944,small,1
1867,NDB,MR,Nouadhibou International Airport,AF,airport,20.934168,-17.028334,medium,1
1868,OUZ,MR,Tazadit Airport,AF,airport,22.733334,-12.35,small,1
1869,JSS,GR,Spetsai Airport,EU,airport,37.25,23.166668,small,1
1870,CIQ,GT,Chiquimula Airport,NA,airport,14.85,-89.61667,small,1
1871,DON,GT,Dos Lagunas Airport,NA,airport,17.633333,-89.666664,small,1
1872,ENJ,GT,El Naranjo Airport,NA,airport,17.333332,-90.166664,small,1
1873,PCG,GT,Paso Caballos Airport,NA,airport,17.26,-90.24722,small,1
1874,LCF,GT,Las Vegas Airport,NA,airport,15.667778,-88.94778,small,1
1875,TKM,GT,,NA,airport,17.226389,-89.605,small,1
1876,UAX,GT,Uaxactun Airport,NA,airport,17.393888,-89.632774,small,1
1877,PKJ,GT,Playa Grande Airport,NA,airport,15.6425,-90.76195,small,1
1878,GTZ,TZ,Kirawira B Aerodrome,AF,airport,-2.160833,34.225555,small,1
1879,CKY,GN,Conakry Airport,AF,airport,9.575655,-13.62017,medium,1
1880,FIG,GN,Fria Airport,AF,airport,10.35,-13.566667,medium,1
1881,FAA,GN,Faranah Airport,AF,airport,10.033333,-10.75,medium,1
1882,KSI,GN,Kissidougou Airport,AF,airport,9.183333,-10.1,small,1
1883,LEK,GN,Labe Airport,AF,airport,11.333333,-12.297222,medium,1
1884,MCA,GN,Macenta Airport,AF,airport,8.55,-9.466667,small,1
1885,NZE,GN,Nzerekore Airport,AF,airport,7.808333,-8.702778,small,1
1886,BKJ,GN,Boke Airport,AF,airport,10.966667,-14.283333,small,1
1887,SBI,GN,Sambailo Airport,AF,airport,12.483333,-13.3,small,1
1888,GII,GN,Siguiri Airport,AF,airport,11.516667,-9.166667,small,1
1889,KNN,GN,Kankan Airport,AF,airport,10.3975,-9.305556,small,1
1890,SID,CV,,AF,airport,16.734695,-22.943613,medium,1
1891,NTO,CV,Agostinho Neto Airport,AF,airport,17.066668,-25.083332,small,1
1892,BVC,CV,Rabil Airport,AF,airport,16.083332,-22.833332,medium,1
1893,MMO,CV,Maio Airport,AF,airport,15.25,-23.166668,medium,1
1894,MTI,CV,Mosteiros Airport,AF,airport,15.0,-24.433332,small,1
1895,RAI,CV,Praia International Airport,AF,airport,14.945321,-23.486567,medium,1
1896,SFL,CV,,AF,airport,14.9,-24.516666,small,1
1897,SNE,CV,,AF,airport,16.586945,-24.28861,medium,1
1898,VXE,CV,,AF,airport,16.835613,-25.057571,medium,1
1899,EDG,DE,Gatow Airport,EU,closed,,,,0
1900,BCG,GY,Bemichi Airport,SA,airport,6.55,-58.55,small,1
1901,BTO,SR,Botopasi Airport,SA,airport,4.25,-55.45,small,1
1902,DOE,SR,Djumu-Djomoe Airport,SA,airport,4.016667,-55.483334,small,1
1903,LDO,SR,Ladouanie Airport,SA,airport,4.216667,-55.233334,small,1
1904,WSO,SR,Washabo Airport,SA,airport,5.216667,-57.183334,small,1
1905,ADD,ET,Bole International Airport,AF,airport,8.983759,38.7959,medium,1
1906,AMH,ET,Arba Minch Airport,AF,airport,6.036111,37.576942,medium,1
1907,AXU,ET,Axum Airport,AF,airport,14.120833,38.716667,medium,1
1908,BCO,ET,Baco Airport,AF,airport,5.783333,36.55,small,1
1909,BJR,ET,Bahir Dar Airport,AF,airport,11.603292,37.32324,medium,1
1910,BEI,ET,Beica Airport,AF,airport,9.391667,34.533333,small,1
1911,DSE,ET,Combolcha Airport,AF,airport,11.075,39.71528,small,1
1912,DEM,ET,Dembidollo Airport,AF,airport,8.571111,34.88333,small,1
1913,DBM,ET,Debra Marcos Airport,AF,airport,10.319444,37.743057,small,1
1914,DIR,ET,Aba Tenna Dejazmach Yilma International Airport,AF,airport,9.61338,41.857994,medium,1
1915,DBT,ET,Debre Tabor Airport,AF,airport,11.968056,38.025276,small,1
1916,FNH,ET,Fincha Airport,AF,airport,9.583333,37.433334,small,1
1917,GOB,ET,Robe Airport,AF,airport,7.013889,39.980556,small,1
1918,GNN,ET,Ghinnir Airport,AF,airport,7.15,40.716667,small,1
1919,GMB,ET,Gambella Airport,AF,airport,8.283333,34.583332,medium,1
1920,GDQ,ET,Gonder Airport,AF,airport,12.514444,37.445557,medium,1
1921,GDE,ET,Gode Airport,AF,airport,5.902222,43.628334,medium,1
1922,GOR,ET,Gore Airport,AF,airport,8.155556,35.538055,small,1
1923,QHR,ET,Harar Meda Airport,AF,airport,,,medium,1
1924,HUE,ET,Humera Airport,AF,airport,14.25,36.583332,small,1
1925,JIM,ET,Jimma Airport,AF,airport,7.654444,36.82111,medium,1
1926,ABK,ET,Kabri Dehar Airport,AF,airport,6.733889,44.26611,small,1
1927,LFO,ET,Kelafo East Airport,AF,airport,5.666667,44.333332,small,1
1928,AWA,ET,Awassa Airport,AF,airport,7.061111,38.4875,small,1
1929,LLI,ET,Lalibella Airport,AF,airport,12.016667,39.066666,small,1
1930,MQX,ET,Mekele Airport,AF,airport,13.468333,39.52639,medium,1
1931,NDM,ET,Mendi Airport,AF,airport,9.816667,35.083332,small,1
1932,MTF,ET,Mizan Teferi Airport,AF,airport,6.966667,35.533333,small,1
1933,NEJ,ET,Nejjo Airport,AF,airport,9.5,35.466667,small,1
1934,NEK,ET,Nekemte Airport,AF,airport,9.066667,36.5,small,1
1935,SXU,ET,Soddu Airport,AF,airport,6.836111,37.775,small,1
1936,ASO,ET,Asosa Airport,AF,airport,10.047222,34.536667,medium,1
1937,TIE,ET,Tippi Airport,AF,airport,7.201111,35.41528,small,1
1938,WAC,ET,Waca Airport,AF,airport,7.166667,37.166668,small,1
1939,BJM,BI,Bujumbura International Airport,AF,airport,-3.383333,29.366667,medium,1
1940,GID,BI,Gitega Airport,AF,airport,-3.416667,29.916668,small,1
1941,ALU,SO,Alula Airport,AF,airport,11.966667,50.8,small,1
1942,BIB,SO,Baidoa Airport,AF,airport,3.066667,43.63333,small,1
1943,CXN,SO,Candala Airport,AF,airport,11.5,49.916668,small,1
1944,HCM,SO,Eil Airport,AF,airport,7.916667,49.8,small,1
1945,BSA,SO,Bosaso Airport,AF,airport,11.283333,49.15,small,1
1946,GSR,SO,Gardo Airport,AF,airport,9.5,49.05,small,1
1947,HGA,SO,Egal International Airport,AF,airport,9.515833,44.091667,medium,1
1948,BBO,SO,Berbera Airport,AF,airport,10.419444,45.00639,medium,1
1949,KMU,SO,Kisimayu Airport,AF,airport,-0.377185,42.461792,medium,1
1950,MGQ,SO,Aden Adde International Airport,AF,airport,2.013333,45.31333,medium,1
1951,CMO,SO,Obbia Airport,AF,airport,5.366667,48.516666,small,1
1952,GLK,SO,Galcaio Airport,AF,airport,6.766667,47.433334,small,1
1953,CMS,SO,Scusciuban Airport,AF,airport,10.3,50.233334,small,1
1954,ERA,SO,Erigavo Airport,AF,airport,10.616667,47.4,small,1
1955,BUO,SO,Burao Airport,AF,airport,9.5225,45.55417,small,1
1956,JIB,DJ,Djibouti-Ambouli Airport,AF,airport,11.552361,43.149677,medium,1
1957,AII,DJ,Ali-Sabieh Airport,AF,airport,11.15,42.716667,small,1
1958,MHI,DJ,Moucha Airport,AF,airport,11.0,43.0,small,1
1959,OBC,DJ,Obock Airport,AF,airport,11.983333,43.266666,small,1
1960,TDJ,DJ,Tadjoura Airport,AF,airport,11.783333,42.9,small,1
1961,SEW,EG,Siwa Oasis North Airport,AF,airport,29.33371,25.50645,small,1
1962,DBB,EG,El Alamein International Airport,AF,airport,30.924444,28.46139,medium,1
1963,AAC,EG,El Arish International Airport,AS,airport,31.076414,33.832287,medium,1
1964,ATZ,EG,Assiut International Airport,AF,airport,27.033333,31.0,medium,1
1965,ALY,EG,El Nouzha Airport,AF,airport,31.192545,29.953058,medium,1
1966,HBE,EG,Borg El Arab International Airport,AF,airport,30.922234,29.686504,medium,1
1967,ABS,EG,Abu Simbel Airport,AF,airport,22.367567,31.609774,medium,1
1968,CAI,EG,Cairo International Airport,AF,airport,30.120106,31.40647,large,1
1969,CWE,EG,Cairo West Airport,AF,airport,,,medium,1
1970,DAK,EG,Dakhla Airport,AF,airport,25.414722,28.999166,small,1
1971,HRG,EG,Hurghada International Airport,AF,airport,27.189156,33.8055,large,1
1972,EGH,EG,El Gora Airport,AS,airport,,,medium,1
1973,UVL,EG,El Kharga Airport,AF,airport,25.475,30.590834,small,1
1974,LXR,EG,Luxor International Airport,AF,airport,25.67492,32.699684,medium,1
1975,RMF,EG,Marsa Alam International Airport,AF,airport,25.555786,34.592777,medium,1
1976,HMB,EG,Sohag International Airport,AF,airport,26.338877,31.737167,medium,1
1977,MUH,EG,Mersa Matruh Airport,AF,airport,31.35,27.25,medium,1
1978,GSQ,EG,Shark El Oweinat International Airport,AF,airport,22.583332,28.716667,small,1
1979,PSD,EG,Port Said Airport,AF,airport,31.266666,32.3,medium,1
1980,SKV,EG,St Catherine International Airport,AS,airport,28.685278,34.0625,medium,1
1981,SSH,EG,Sharm El Sheikh International Airport,AS,airport,27.979357,34.385254,medium,1
1982,ASW,EG,Aswan International Airport,AF,airport,23.968021,32.824818,medium,1
1983,TCP,EG,Taba International Airport,AS,airport,29.55,34.916668,medium,1
1984,ELT,EG,El Tor Airport,AS,airport,28.216667,33.63333,small,1
1985,HGI,SS,Palogue Airport,AF,airport,,,small,1
1986,ASM,ER,Asmara International Airport,AF,airport,15.291111,38.91028,medium,1
1987,MSW,ER,Massawa International Airport,AF,airport,15.603333,39.441113,medium,1
1988,ASA,ER,Assab International Airport,AF,airport,13.07,42.638332,medium,1
1989,TES,ER,Tessenei Airport,AF,airport,15.116667,36.683334,small,1
1990,HIA,CN,Lianshui Airport,AS,airport,33.7875,119.12778,medium,1
1991,HIL,ET,Shilavo Airport,AF,airport,6.083333,44.766666,small,1
1992,ASV,KE,Amboseli Airport,AF,airport,-2.633333,37.25,medium,1
1993,EDL,KE,Eldoret International Airport,AF,airport,0.4054,35.2236,medium,1
1994,EYS,KE,Eliye Springs Airport,AF,airport,3.25,35.966667,small,1
1995,KLK,KE,Kalokol Airport,AF,airport,-6.783333,25.783333,small,1
1996,GAS,KE,Garissa Airport,AF,airport,-0.45,39.65,small,1
1997,HOA,KE,Hola Airport,AF,airport,-1.0,40.0,small,1
1998,NBO,KE,Jomo Kenyatta International Airport,AF,airport,-1.319167,36.92578,large,1
1999,GGM,KE,Kakamega Airport,AF,airport,0.266425,34.783333,small,1
2000,KIS,KE,Kisumu Airport,AF,airport,-0.084946,34.7375,medium,1
2001,ILU,KE,Kilaguni Airport,AF,airport,-2.9,38.05,small,1
2002,KEY,KE,Kericho Airport,AF,airport,-0.366667,35.283333,small,1
2003,KTL,KE,Kitale Airport,AF,airport,0.974111,34.959248,medium,1
2004,LKG,KE,Lokichoggio Airport,AF,airport,4.233333,34.35,medium,1
2005,LOK,KE,Lodwar Airport,AF,airport,3.15,35.6,medium,1
2006,LAU,KE,Manda Airstrip,AF,airport,-2.25,40.911667,medium,1
2007,LOY,KE,Loyengalani Airport,AF,airport,2.75,36.716667,small,1
2008,NDE,KE,Mandera Airport,AF,airport,3.933333,41.86667,small,1
2009,RBT,KE,Segel Airport,AF,airport,2.333333,37.983334,small,1
2010,MYD,KE,Malindi Airport,AF,airport,-3.230755,40.10048,medium,1
2011,MBA,KE,Mombasa Moi International Airport,AF,airport,-4.0327,39.60325,large,1
2012,MRE,KE,Mara Serena Lodge Airstrip,AF,airport,-1.300368,35.05885,medium,1
2013,OYL,KE,Moyale Airport,AF,airport,3.533333,39.05,small,1
2014,NYE,KE,Nyeri Airport,AF,airport,-0.416667,36.95,small,1
2015,NUU,KE,Nakuru Airport,AF,airport,-0.3,36.15,small,1
2016,WIL,KE,Nairobi Wilson Airport,AF,airport,-1.318018,36.813248,medium,1
2017,NYK,KE,Nanyuki Airport,AF,airport,0.016667,37.066666,medium,1
2018,UAS,KE,Samburu South Airport,AF,airport,0.466667,37.55,small,1
2019,UKA,KE,Ukunda Airstrip,AF,airport,-4.3,39.566666,small,1
2020,WJR,KE,Wajir Airport,AF,airport,1.766667,40.6,medium,1
2021,SRX,LY,Gardabya Airport,AF,airport,31.060917,16.612036,medium,1
2022,TOB,LY,Gamal Abdel Nasser Airport,AF,airport,31.854168,23.917221,small,1
2023,GHT,LY,Ghat Airport,AF,airport,24.966667,10.166667,medium,1
2024,AKF,LY,Kufra Airport,AF,airport,24.2,23.333332,medium,1
2025,BEN,LY,Benina International Airport,AF,airport,32.085423,20.26489,medium,1
2026,MJI,LY,Mitiga Airport,AF,airport,32.89722,13.277778,medium,1
2027,LAQ,LY,La Abraq Airport,AF,airport,32.788612,21.964167,medium,1
2028,SEB,LY,Sabha Airport,AF,airport,27.016666,14.4625,medium,1
2029,TIP,LY,Tripoli International Airport,AF,airport,32.66989,13.144279,large,1
2030,LMQ,LY,Marsa Brega Airport,AF,airport,30.379444,19.579445,medium,1
2031,HUQ,LY,Hon Airport,AF,airport,29.5,15.5,small,1
2032,LTD,LY,Ghadames East Airport,AF,airport,30.129168,9.509722,medium,1
2033,WAX,LY,Zwara Airport,AF,airport,51.216667,-55.38333,small,1
2034,GYI,RW,Gisenyi Airport,AF,airport,-1.683333,29.25,medium,1
2035,BTQ,RW,Butare Airport,AF,airport,-2.6,29.733334,small,1
2036,KGL,RW,Kigali International Airport,AF,airport,-1.963042,30.135014,medium,1
2037,RHG,RW,Ruhengeri Airport,AF,airport,-1.5,29.6,small,1
2038,KME,RW,Kamembe Airport,AF,airport,-2.466667,28.916668,medium,1
2039,ATB,SD,Atbara Airport,AF,airport,17.716667,34.016666,small,1
2040,EDB,SD,El Debba Airport,AF,airport,18.283333,30.833332,small,1
2041,DOG,SD,Dongola Airport,AF,airport,19.183332,30.45,medium,1
2042,ELF,SD,El Fasher Airport,AF,airport,13.616667,25.316668,medium,1
2043,GSU,SD,Azaza Airport,AF,airport,14.033333,35.466667,small,1
2044,DNX,SD,Galegu Airport,AF,airport,14.1,33.066666,small,1
2045,EGN,SD,Geneina Airport,AF,airport,13.4875,22.469444,small,1
2046,KSL,SD,Kassala Airport,AF,airport,15.390278,36.34222,medium,1
2047,GBU,SD,Khashm El Girba Airport,AF,airport,14.926389,35.88889,small,1
2048,KST,SD,Kosti Airport,AF,airport,13.133333,32.716667,small,1
2049,KDX,SD,Kadugli Airport,AF,airport,,,small,1
2050,MWE,SD,Merowe Airport,AF,airport,18.45,31.833332,small,1
2051,NUD,SD,En Nahud Airport,AF,airport,12.75,28.416668,small,1
2052,UYL,SD,Nyala Airport,AF,airport,12.071667,24.894722,small,1
2053,NHF,SD,New Halfa Airport,AF,airport,15.35,35.733334,small,1
2054,EBD,SD,El Obeid Airport,AF,airport,13.159722,30.234167,medium,1
2055,PZU,SD,Port Sudan New International Airport,AF,airport,19.577778,37.21389,medium,1
2056,JUB,SS,Juba Airport,AF,airport,4.866198,31.601692,medium,1
2057,MAK,SS,Malakal Airport,AF,airport,9.555556,31.644444,medium,1
2058,KRT,SD,Khartoum International Airport,AF,airport,15.592217,32.549698,large,1
2059,WHF,SD,Wadi Halfa Airport,AF,airport,21.75,31.5,small,1
2060,WUU,SS,Wau Airport,AF,airport,7.746389,27.985277,medium,1
2061,ARK,TZ,Arusha Airport,AF,airport,-3.366667,36.683334,medium,1
2062,BKZ,TZ,Bukoba Airport,AF,airport,-1.331923,31.82253,small,1
2063,DAR,TZ,Mwalimu Julius K. Nyerere International Airport,AF,airport,-6.873533,39.20211,medium,1
2064,DOD,TZ,Dodoma Airport,AF,airport,-6.166667,35.75028,medium,1
2065,IRI,TZ,Iringa Airport,AF,airport,-7.670556,35.75028,medium,1
2066,TKQ,TZ,Kigoma Airport,AF,airport,-4.885,29.67,small,1
2067,KIY,TZ,Kilwa Masoko Airport,AF,airport,-8.911944,39.511665,small,1
2068,JRO,TZ,Kilimanjaro International Airport,AF,airport,-3.424123,37.065342,medium,1
2069,LDI,TZ,Kikwetu Airport,AF,airport,-9.845833,39.759445,small,1
2070,LKY,TZ,Lake Manyara Airport,AF,airport,-3.375889,35.82021,medium,1
2071,MFA,TZ,Mafia Island Airport,AF,airport,-7.913889,39.665,small,1
2072,MBI,TZ,Mbeya Airport,AF,airport,-8.916634,33.45886,small,1
2073,MWN,TZ,Mwadui Airport,AF,airport,-3.55,33.6,small,1
2074,XMI,TZ,Masasi Airport,AF,airport,-10.716667,38.8,small,1
2075,QSI,TZ,Moshi Airport,AF,airport,,,small,1
2076,MYW,TZ,Mtwara Airport,AF,airport,-10.338889,40.19361,medium,1
2077,MUZ,TZ,Musoma Airport,AF,airport,-1.497222,33.8,small,1
2078,MWZ,TZ,Mwanza Airport,AF,airport,-2.441221,32.923225,medium,1
2079,NCH,TZ,Nachingwea Airport,AF,airport,-10.363889,38.775,small,1
2080,JOM,TZ,Njombe Airport,AF,airport,-9.354444,34.77139,small,1
2081,PMA,TZ,Pemba Airport,AF,airport,-5.258731,39.81262,medium,1
2082,SEU,TZ,Seronera Airport,AF,airport,-2.4567,34.821545,small,1
2083,SGX,TZ,Songea Airport,AF,airport,-10.686667,35.5775,small,1
2084,SUT,TZ,Sumbawanga Airport,AF,airport,-7.966667,31.616667,small,1
2085,SHY,TZ,Shinyanga Airport,AF,airport,-3.608185,33.504486,small,1
2086,TBO,TZ,Tabora Airport,AF,airport,-5.0725,32.8375,small,1
2087,TGT,TZ,Tanga Airport,AF,airport,-5.089444,39.07028,medium,1
2088,ZNZ,TZ,Zanzibar Airport,AF,airport,-6.218466,39.221184,medium,1
2089,RUA,UG,Arua Airport,AF,airport,3.033333,30.933332,medium,1
2090,EBB,UG,Entebbe International Airport,AF,airport,0.045111,32.443184,medium,1
2091,ULU,UG,Gulu Airport,AF,airport,2.783333,32.3,medium,1
2092,JIN,UG,Jinja Airport,AF,airport,0.456389,33.192223,small,1
2093,KBG,UG,Kabalega Falls Airport,AF,airport,2.329142,31.500895,small,1
2094,KSE,UG,Kasese Airport,AF,airport,0.185556,30.100834,small,1
2095,MBQ,UG,Mbarara Airport,AF,airport,-0.616667,30.65,small,1
2096,KCU,UG,Masindi Airport,AF,airport,1.683333,31.716667,small,1
2097,SRT,UG,Soroti Airport,AF,airport,1.7,33.61667,medium,1
2098,TRY,UG,Tororo Airport,AF,airport,0.7,34.183334,small,1
2099,IBL,MZ,Indigo Bay Lodge Airport,AF,airport,,,medium,1
2100,PPJ,ID,Pulau Panjang Airport,AS,airport,-0.633333,103.3,small,1
2101,AAS,ID,Apalapsili Airport,AS,airport,-3.916667,139.25,small,1
2102,AGD,ID,Anggi Airport,AS,airport,-1.383333,133.86667,small,1
2103,AKQ,ID,Gunung Batin Airport,AS,airport,-4.616667,105.23333,small,1
2104,AYW,ID,Ayawasi Airport,AS,airport,-1.2,132.5,small,1
2105,BJG,ID,Boalang Airport,AS,airport,-0.95,122.1,small,1
2106,BXM,ID,Batom Airport,AS,airport,-4.116667,140.85,small,1
2107,DRH,ID,Dabra Airport,AS,airport,-3.25,138.56667,small,1
2108,ELR,ID,Elelim Airport,AS,airport,-3.816667,140.06667,small,1
2109,EWE,ID,Ewer Airport,AS,airport,-5.483333,138.08333,small,1
2110,FOO,ID,Kornasoren Airfield,AS,airport,-1.05,134.9,small,1
2111,GAV,ID,Gag Island Airport,AS,airport,-26.0,130.88333,small,1
2112,IUL,ID,Ilu Airport,AS,airport,-3.733333,138.16667,small,1
2113,KBF,ID,Karubaga Airport,AS,airport,-3.716667,138.45,small,1
2114,KBX,ID,Kambuaya Airport,AS,airport,-1.0,132.25,small,1
2115,KCD,ID,Kamur Airport,AS,airport,-6.2,138.71666,small,1
2116,KCI,TL,Kon Airport,AS,airport,-8.35,127.05,small,1
2117,KEA,ID,Keisah Airport,AS,airport,-7.033333,140.03334,small,1
2118,KMM,ID,Kiman Airport,AS,airport,-3.666667,136.16667,small,1
2119,KOD,ID,Kotabangun Airport,AS,airport,-0.266667,116.583336,small,1
2120,KRC,ID,Kerinici airport,AS,airport,-1.716667,101.25,small,1
2121,KWB,ID,Karimunjawa Airport,AS,airport,-5.833333,110.5,small,1
2122,LLN,ID,Kelila Airport,AS,airport,-3.75,138.66667,small,1
2123,LWE,ID,Lewoleba Airport,AS,airport,-8.361607,124.4387,small,1
2124,LYK,ID,Lunyuk Airport,AS,airport,-9.0,117.26667,small,1
2125,MJY,ID,Mangunjaya Airport,AS,airport,-2.733333,103.566666,small,1
2126,MPT,ID,Maliana airport,AS,airport,-8.066667,125.25,small,1
2127,MSI,ID,Masalembo Airport,AS,airport,-5.583333,114.433334,small,1
2128,MUF,ID,Muting Airport,AS,airport,-7.5,140.33333,small,1
2129,NAF,ID,Banaina Airport,AS,airport,2.75,117.05,small,1
2130,NDA,ID,Bandanaira Airport,AS,airport,-4.533333,129.9,small,1
2131,OBD,ID,Obano Airport,AS,airport,-3.9,136.2,small,1
2132,PPJ,ID,Pulau Panjang Airport,AS,airport,-0.633333,103.3,small,1
2133,PUM,ID,Pomala Airport,AS,airport,-4.183333,121.61667,small,1
2134,PWL,ID,Purwokerto Airport,AS,airport,-7.466667,109.15,small,1
2135,RAQ,ID,Sugimanuru Airport,AS,airport,-4.916667,122.583336,small,1
2136,RKI,ID,Rokot Airport,AS,airport,-0.95,100.75,small,1
2137,RTI,ID,Roti Airport,AS,airport,-10.883333,122.96667,small,1
2138,RUF,ID,Yuruf Airport,AS,airport,-3.633333,140.93333,small,1
2139,RZS,ID,Sawan Airport,AS,airport,26.966667,68.86667,small,1
2140,SAE,ID,Sangir Airport,AS,airport,70.811455,-51.632145,small,1
2141,TBM,ID,Tumbang Samba Airport,AS,airport,-3.25,112.583336,small,1
2142,TMY,ID,Tiom Airport,AS,airport,-3.95,138.41667,small,1
2143,ZEG,ID,Senggo Airport,AS,airport,-5.983333,139.36667,small,1
2144,ZGP,ID,Zugapa Airport,AS,airport,,,medium,1
2145,IOR,IE,Kilronan Airport,EU,airport,53.11667,-9.75,small,1
2146,CHE,IE,Reeroe Airport,EU,airport,51.933334,-10.233333,small,1
2147,VDY,IN,Vijayanagar Aerodrome (JSW),AS,airport,,,small,1
2148,JGB,IN,Jagdalpur Airport,AS,airport,19.066668,82.03333,small,1
2149,NVY,IN,Neyveli Airport,AS,airport,11.6,79.433334,small,1
2150,RJI,IN,Rajouri Airport,AS,airport,33.36861,74.3025,small,1
2151,TEI,IN,Tezu Airport,AS,airport,27.95,96.13333,small,1
2152,KHA,IR,Khaneh Airport,AS,airport,36.733334,45.15,small,1
2153,GSM,IR,Gheshm Airport,AS,airport,26.757778,55.905277,small,1
2154,TQR,IT,San Domino Island Heliport,EU,heliport,,,,1
2155,JGD,CN,Jiagedaqi Airport,AS,airport,50.370556,124.11667,medium,1
2156,JIC,CN,Jinchuan Airport,AS,airport,38.541943,102.34861,small,1
2157,JIQ,CN,Qianjiang Wulingshan Airport,AS,airport,29.517557,108.829185,medium,1
2158,JMC,US,Commodore Center Heliport,NA,heliport,,,,1
2159,JRA,US,West 30th St. Heliport,NA,heliport,,,,1
2160,AMK,US,Animas Air Park,NA,airport,37.15,-107.75,small,1
2161,RLA,US,Rolla Downtown Airport,NA,airport,38.127777,-91.77805,small,1
2162,FID,US,Elizabeth Field,NA,airport,41.0,-72.0,small,1
2163,AHD,US,Ardmore Downtown Executive Airport,NA,airport,34.166668,-97.13333,small,1
2164,GCW,US,Grand Canyon West Airport,NA,airport,35.988804,-113.815674,small,1
2165,RKC,US,Montague-Yreka Rohrer Field,NA,airport,41.733334,-122.63333,small,1
2166,GNF,US,Gansner Field,NA,airport,33.975307,-89.93228,small,1
2167,AHF,US,Arapahoe Municipal Airport,NA,airport,40.3,-99.9,small,1
2168,GTP,US,Grants Pass Airport,NA,airport,42.50926,-123.388695,small,1
2169,GCD,US,Grand Coulee Dam Airport,NA,airport,,,small,1
2170,FPY,US,Perry Foley Airport,NA,airport,30.116667,-83.583336,small,1
2171,FHB,US,Fernandina Beach Municipal Airport,NA,airport,,,small,1
2172,BLD,US,Boulder City Municipal Airport,NA,airport,35.947018,-114.85936,small,1
2173,AAF,US,Apalachicola Regional Airport,NA,airport,29.733334,-84.98333,small,1
2174,ABE,US,Lehigh Valley International Airport,NA,airport,40.651573,-75.434364,medium,1
2175,ABI,US,Abilene Regional Airport,NA,airport,32.409443,-99.679726,medium,1
2176,ABQ,US,Albuquerque International Sunport Airport,NA,airport,35.049625,-106.617195,large,1
2177,ABR,US,Aberdeen Regional Airport,NA,airport,45.4525,-98.42611,medium,1
2178,ABY,US,Southwest Georgia Regional Airport,NA,airport,31.532223,-84.19611,medium,1
2179,ACB,US,Antrim County Airport,NA,airport,44.983334,-85.21667,small,1
2180,ACK,US,Nantucket Memorial Airport,NA,airport,41.256668,-70.05972,medium,1
2181,ACT,US,Waco Regional Airport,NA,airport,31.609133,-97.22321,medium,1
2182,ACV,US,Arcata Airport,NA,airport,40.970913,-124.106926,medium,1
2183,ACY,US,Atlantic City International Airport,NA,airport,39.450703,-74.572235,medium,1
2184,ADG,US,Lenawee County Airport,NA,airport,41.9,-84.03333,small,1
2185,ADT,US,Ada Municipal Airport,NA,airport,34.8,-96.666664,small,1
2186,ADM,US,Ardmore Municipal Airport,NA,airport,34.303055,-97.01945,small,1
2187,ADS,US,Addison Airport,NA,airport,32.968613,-97.83639,small,1
2188,ADW,US,Andrews Air Force Base,NA,airport,38.816666,-76.86667,large,1
2189,KAE,US,Kake Seaplane Base,NA,seaplanes,,,,1
2190,AEL,US,Albert Lea Municipal Airport,NA,airport,43.65,-93.36667,small,1
2191,AEX,US,Alexandria International Airport,NA,airport,31.321268,-92.53958,medium,1
2192,AFF,US,USAF Academy Airfield,NA,airport,38.833332,-104.7,small,1
2193,WSG,US,Washington County Airport,NA,airport,40.166668,-80.25,small,1
